,0
0,./VideoDataPath/FrontCrawl/v_FrontCrawl_g09_c05/
1,./VideoDataPath/TableTennisShot/v_TableTennisShot_g09_c01/
2,./VideoDataPath/Rowing/v_Rowing_g24_c01/
3,./VideoDataPath/Lunges/v_Lunges_g23_c03/
4,./VideoDataPath/TrampolineJumping/v_TrampolineJumping_g07_c05/
5,./VideoDataPath/IceDancing/v_IceDancing_g02_c05/
6,./VideoDataPath/Swing/v_Swing_g14_c01/
7,./VideoDataPath/BoxingSpeedBag/v_BoxingSpeedBag_g04_c01/
8,./VideoDataPath/JumpingJack/v_JumpingJack_g19_c07/
9,./VideoDataPath/JumpingJack/v_JumpingJack_g17_c04/
10,./VideoDataPath/Hammering/v_Hammering_g13_c03/
11,./VideoDataPath/BodyWeightSquats/v_BodyWeightSquats_g17_c04/
12,./VideoDataPath/WritingOnBoard/v_WritingOnBoard_g19_c03/
13,./VideoDataPath/BreastStroke/v_BreastStroke_g17_c01/
14,./VideoDataPath/TrampolineJumping/v_TrampolineJumping_g19_c01/
15,./VideoDataPath/Bowling/v_Bowling_g13_c06/
16,./VideoDataPath/JavelinThrow/v_JavelinThrow_g14_c04/
17,./VideoDataPath/SoccerJuggling/v_SoccerJuggling_g24_c04/
18,./VideoDataPath/Haircut/v_Haircut_g07_c01/
19,./VideoDataPath/IceDancing/v_IceDancing_g01_c07/
20,./VideoDataPath/MilitaryParade/v_MilitaryParade_g11_c05/
21,./VideoDataPath/HandstandPushups/v_HandStandPushups_g01_c01/
22,./VideoDataPath/GolfSwing/v_GolfSwing_g08_c04/
23,./VideoDataPath/CuttingInKitchen/v_CuttingInKitchen_g24_c01/
24,./VideoDataPath/TaiChi/v_TaiChi_g03_c02/
25,./VideoDataPath/WallPushups/v_WallPushups_g25_c01/
26,./VideoDataPath/BaseballPitch/v_BaseballPitch_g13_c06/
27,./VideoDataPath/SoccerPenalty/v_SoccerPenalty_g22_c01/
