,0
0,./VideoDataPath/ApplyEyeMakeup/v_ApplyEyeMakeup_g17_c04/
1,./VideoDataPath/ShavingBeard/v_ShavingBeard_g14_c05/
2,./VideoDataPath/PizzaTossing/v_PizzaTossing_g03_c01/
3,./VideoDataPath/Skijet/v_Skijet_g04_c02/
4,./VideoDataPath/BoxingPunchingBag/v_BoxingPunchingBag_g25_c06/
5,./VideoDataPath/GolfSwing/v_GolfSwing_g20_c05/
6,./VideoDataPath/HighJump/v_HighJump_g05_c03/
7,./VideoDataPath/BaseballPitch/v_BaseballPitch_g10_c03/
8,./VideoDataPath/Kayaking/v_Kayaking_g20_c07/
9,./VideoDataPath/GolfSwing/v_GolfSwing_g22_c04/
10,./VideoDataPath/BrushingTeeth/v_BrushingTeeth_g19_c01/
11,./VideoDataPath/PoleVault/v_PoleVault_g04_c03/
12,./VideoDataPath/BasketballDunk/v_BasketballDunk_g13_c03/
13,./VideoDataPath/SoccerJuggling/v_SoccerJuggling_g23_c04/
14,./VideoDataPath/CleanAndJerk/v_CleanAndJerk_g07_c03/
15,./VideoDataPath/HeadMassage/v_HeadMassage_g05_c01/
16,./VideoDataPath/Typing/v_Typing_g20_c02/
17,./VideoDataPath/ParallelBars/v_ParallelBars_g05_c01/
18,./VideoDataPath/SoccerPenalty/v_SoccerPenalty_g21_c05/
19,./VideoDataPath/RockClimbingIndoor/v_RockClimbingIndoor_g06_c07/
20,./VideoDataPath/HorseRace/v_HorseRace_g08_c03/
21,./VideoDataPath/HandstandWalking/v_HandstandWalking_g20_c04/
22,./VideoDataPath/CricketBowling/v_CricketBowling_g11_c03/
23,./VideoDataPath/PlayingViolin/v_PlayingViolin_g25_c02/
24,./VideoDataPath/FrisbeeCatch/v_FrisbeeCatch_g21_c01/
25,./VideoDataPath/Skiing/v_Skiing_g22_c03/
26,./VideoDataPath/BlowDryHair/v_BlowDryHair_g25_c02/
27,./VideoDataPath/ParallelBars/v_ParallelBars_g04_c07/
28,./VideoDataPath/SkateBoarding/v_SkateBoarding_g19_c03/
29,./VideoDataPath/ThrowDiscus/v_ThrowDiscus_g17_c01/
30,./VideoDataPath/IceDancing/v_IceDancing_g09_c06/
31,./VideoDataPath/BoxingPunchingBag/v_BoxingPunchingBag_g23_c03/
32,./VideoDataPath/BreastStroke/v_BreastStroke_g16_c01/
33,./VideoDataPath/BandMarching/v_BandMarching_g22_c03/
34,./VideoDataPath/Fencing/v_Fencing_g10_c04/
35,./VideoDataPath/IceDancing/v_IceDancing_g13_c03/
36,./VideoDataPath/PlayingCello/v_PlayingCello_g01_c05/
37,./VideoDataPath/Haircut/v_Haircut_g22_c01/
38,./VideoDataPath/BasketballDunk/v_BasketballDunk_g02_c01/
