,0
0,./VideoDataPath/Billiards/v_Billiards_g21_c01/
1,./VideoDataPath/PizzaTossing/v_PizzaTossing_g19_c04/
2,./VideoDataPath/Typing/v_Typing_g20_c01/
3,./VideoDataPath/PizzaTossing/v_PizzaTossing_g15_c02/
4,./VideoDataPath/TableTennisShot/v_TableTennisShot_g25_c02/
5,./VideoDataPath/PlayingTabla/v_PlayingTabla_g11_c03/
6,./VideoDataPath/PlayingFlute/v_PlayingFlute_g04_c02/
7,./VideoDataPath/HandstandPushups/v_HandStandPushups_g17_c03/
8,./VideoDataPath/PlayingSitar/v_PlayingSitar_g08_c05/
9,./VideoDataPath/GolfSwing/v_GolfSwing_g19_c02/
10,./VideoDataPath/Knitting/v_Knitting_g10_c01/
11,./VideoDataPath/PlayingDhol/v_PlayingDhol_g25_c04/
12,./VideoDataPath/GolfSwing/v_GolfSwing_g18_c01/
13,./VideoDataPath/Surfing/v_Surfing_g02_c03/
14,./VideoDataPath/RockClimbingIndoor/v_RockClimbingIndoor_g05_c01/
15,./VideoDataPath/Bowling/v_Bowling_g21_c05/
16,./VideoDataPath/YoYo/v_YoYo_g05_c02/
17,./VideoDataPath/ApplyLipstick/v_ApplyLipstick_g08_c02/
18,./VideoDataPath/Drumming/v_Drumming_g20_c05/
19,./VideoDataPath/HighJump/v_HighJump_g07_c01/
20,./VideoDataPath/FloorGymnastics/v_FloorGymnastics_g24_c04/
21,./VideoDataPath/CuttingInKitchen/v_CuttingInKitchen_g04_c03/
22,./VideoDataPath/Mixing/v_Mixing_g03_c06/
23,./VideoDataPath/CliffDiving/v_CliffDiving_g06_c01/
24,./VideoDataPath/HeadMassage/v_HeadMassage_g24_c01/
25,./VideoDataPath/VolleyballSpiking/v_VolleyballSpiking_g16_c04/
26,./VideoDataPath/HulaHoop/v_HulaHoop_g11_c04/
27,./VideoDataPath/IceDancing/v_IceDancing_g23_c03/
28,./VideoDataPath/Bowling/v_Bowling_g19_c04/
29,./VideoDataPath/Bowling/v_Bowling_g20_c01/
30,./VideoDataPath/TaiChi/v_TaiChi_g11_c03/
31,./VideoDataPath/Hammering/v_Hammering_g17_c01/
32,./VideoDataPath/Diving/v_Diving_g01_c05/
33,./VideoDataPath/TaiChi/v_TaiChi_g06_c02/
34,./VideoDataPath/MilitaryParade/v_MilitaryParade_g03_c03/
35,./VideoDataPath/PlayingFlute/v_PlayingFlute_g15_c07/
36,./VideoDataPath/SoccerPenalty/v_SoccerPenalty_g11_c05/
37,./VideoDataPath/FloorGymnastics/v_FloorGymnastics_g25_c04/
38,./VideoDataPath/PoleVault/v_PoleVault_g04_c04/
39,./VideoDataPath/BreastStroke/v_BreastStroke_g06_c03/
40,./VideoDataPath/Basketball/v_Basketball_g17_c01/
41,./VideoDataPath/HulaHoop/v_HulaHoop_g18_c01/
42,./VideoDataPath/HandstandPushups/v_HandStandPushups_g16_c03/
43,./VideoDataPath/PlayingCello/v_PlayingCello_g08_c01/
44,./VideoDataPath/UnevenBars/v_UnevenBars_g15_c04/
45,./VideoDataPath/PlayingGuitar/v_PlayingGuitar_g02_c04/
46,./VideoDataPath/GolfSwing/v_GolfSwing_g04_c05/
47,./VideoDataPath/BenchPress/v_BenchPress_g06_c02/
48,./VideoDataPath/WritingOnBoard/v_WritingOnBoard_g15_c03/
49,./VideoDataPath/PizzaTossing/v_PizzaTossing_g12_c01/
50,./VideoDataPath/Nunchucks/v_Nunchucks_g11_c05/
51,./VideoDataPath/FrontCrawl/v_FrontCrawl_g05_c02/
52,./VideoDataPath/TaiChi/v_TaiChi_g21_c04/
53,./VideoDataPath/BalanceBeam/v_BalanceBeam_g02_c02/
54,./VideoDataPath/Bowling/v_Bowling_g25_c03/
55,./VideoDataPath/BabyCrawling/v_BabyCrawling_g09_c03/
56,./VideoDataPath/BasketballDunk/v_BasketballDunk_g11_c01/
57,./VideoDataPath/UnevenBars/v_UnevenBars_g10_c03/
58,./VideoDataPath/SoccerPenalty/v_SoccerPenalty_g19_c04/
59,./VideoDataPath/PlayingDaf/v_PlayingDaf_g23_c04/
60,./VideoDataPath/PlayingGuitar/v_PlayingGuitar_g20_c05/
61,./VideoDataPath/PlayingPiano/v_PlayingPiano_g06_c01/
62,./VideoDataPath/Billiards/v_Billiards_g24_c02/
63,./VideoDataPath/CliffDiving/v_CliffDiving_g15_c04/
64,./VideoDataPath/StillRings/v_StillRings_g22_c03/
65,./VideoDataPath/TaiChi/v_TaiChi_g12_c03/
66,./VideoDataPath/Kayaking/v_Kayaking_g04_c05/
67,./VideoDataPath/IceDancing/v_IceDancing_g17_c04/
68,./VideoDataPath/BoxingPunchingBag/v_BoxingPunchingBag_g03_c06/
69,./VideoDataPath/Typing/v_Typing_g01_c06/
70,./VideoDataPath/CricketBowling/v_CricketBowling_g04_c03/
71,./VideoDataPath/BandMarching/v_BandMarching_g06_c04/
72,./VideoDataPath/BabyCrawling/v_BabyCrawling_g24_c05/
